model,manufacturer
AZC212DBV1,General Electric
UBHC-24J11NFG,Rheem/Ruud
LT143CNR,LG
US12D10,Friedrich
AJES10DCBM1,General Electric
AJCS10DCBM1,General Electric
AJES10DCAM1,General Electric
EZ12E216F4A14AA,Islandaire
Unknown,Hampton Bay
AJES10DCM1,General Electric
CP15G10,Friedrich
AZ25E09D2BM1,General Electric
Unknown,Wallmaster
PDE12K3SB,Friedrich
PTH094G35AXXXAA,Amana
FAA065P7A1,Frigidaire
Unknown,Westinghouse
Unknown,Emerson
KQ08J10C-A,Friedrich
52CEC309351RC,Carrier
FAH10EM2T1,Frigidaire
WAH09EP2T2,White Westinghouse
FAH10EJ2T2,Frigidaire
VHARA030BCB0A0A030000013501U0000300000,Trane
52CEE307351AA,Carrier
PTC124E35AXXXAB,Amana
PTC123D35AR,Amana
AE123E35AX,Amana
PTC124G25AXXX,Amana
PTH093E25AXXX,Amana
PTC123E25A,Amana
LP070HED,LG
LP073HD2A,LG
PTH123E50A,Amana
PTH123E50AXXX,Amana
CP24F30,Friedrich
LW1510ER,LG
LW8011ER,LG
AZ61H12DABW2,General Electric
LP120HED1,LG
52MEAU07301AA,Carrier
HWH024CMGS,McQuay
PTC073E35AXXX,Amana
PTH124E25AXXX,Amana
PTC153E25AXXX,Amana
HWH019CMGS,McQuay
PTH093G5AXXXAB,Amana
LP126CD3A,LG
EZ12A2CSC1S14AB,Islandaire
52MEBU15301AA,Carrier
PTH093E25A,Amana
PTC094E35A,Amana
PTC094E35AXXX,Amana
PTH153A50AB,Amana
THC07K34STC,Friedrich
XQ08M10,Friedrich
PTH073E35AXXX,Amana
PTH094A35AB,Amana
PTH153E50A,Amana
AZ35H12D3BM1,General Electric
PTH153B25AM,Amana
PTH123G50AXXX,Amana
AZ25E07D3BM1,General Electric
PTH123E25A,Amana
AZ22E09D3BM2,General Electric
UE10C33,Friedrich
UE12C33,Friedrich
AZ35H09D3BM1,General Electric
PE09K3SB-3,Friedrich
AZ28E07DABM2,General Electric
AZ32H09D3BM2,General Electric
PTH154G35AXXX,Amana
LHD106CH,McQuay
LHD114DH,McQuay
AZ29E09DAP,General Electric
52FE108-1-E,Carrier
PTH093B50AM,Amana
AJJ11DFV1,General Electric
AJJ11DFV2,General Electric
FAC053J7A3,Frigidaire
AZ28E12DABM2,General Electric
AZ22E09D5BM1,General Electric
